angebotid,titel,preis,beschreibung,basicPrice,market_name,week_number
3138097,"Dr. Oetker Die Ofenfrische, Culinaria Pizza oder Pizza Tradizionale",1.77,"versch. Sorten, z.B.: Die Ofenfrische Speciale 415g, Culinaria Hot Dog 395g, Tradizionale Margherita 345g, Packung, (1kg = 4,27/4,48/5,13)","1kg = 4,27/4,48/5,13",Marktkauf Lohne,23
3138099,funny-frisch Chipsfrisch,0.88,"versch. Sorten, 175g Beutel, (100g=0,50)","100g=0,50",Marktkauf Lohne,23
3138101,Haribo,0.69,"Fruchtgummi oder Lakritz, versch. Sorten, 175/200g Beutel, (100g = 0,39/0,35)","100g = 0,39/0,35",Marktkauf Lohne,23
3138103,Melitta Filterkaffee,2.99,"gemahlener Roestkaffee, versch. Sorten, 500g Packung, (1kg=5,98)","1kg=5,98",Marktkauf Lohne,23
3138105,NescafA© Dolce Gusto oder Starbucks by NescafA© Dolce Gusto,3.33,"Kaffeespezialitaeten, versch. Sorten, z.B. Caffe Cr. Grande 128g, Cappuccino 186,4g, Bio Grande Mexico 108g, Starbucks Latte Macchiato 129g, Packung, (100g = 2,60/1,79/3,08/2,58)","100g = 2,60/1,79/3,08/2,58",Marktkauf Lohne,23
3138107,"Schwartau Extra*, Samt* o Weniger Zucker",1.39,"fruchtiger Brotaufstrich, versch. Sorten, *ausgenommen Heidelbeere, 270/300/340g Glas, (1kg = 5,15/4,63/4,09)","1kg = 5,15/4,63/4,09",Marktkauf Lohne,23
3138109,Schwarzkopf Schauma Shampoo oder Spuelung,1.29,"versch. Varianten, 400/250ml Flasche, (1l = 3,23/5,16)","1l = 3,23/5,16",Marktkauf Lohne,23
3138111,Zott Sahnejoghurt,0.35,"versch. Sorten, 140/150g Becher, (100g = 0,25/0,23)","100g = 0,25/0,23",Marktkauf Lohne,23
3138115,Agrarfrost Kartoffelspezialitaeten,1.29,"versch. Sorten, 450/500g Beutel, (1kg = 2,87/2,58)","1kg = 2,87/2,58",Marktkauf Lohne,23
3138122,Alnatura Gemuesepfanne,1.99,"Gemuesemischung, fein gewuerzt, versch. Sorten, 450g Beutel, (1kg=4,42)","1kg=4,42",Marktkauf Lohne,23
3138124,Alnatura Hanfsamen geschaelt,3.99,"Bio-Qualitaet, nussiger Geschmack, fuer Mueslis, Salate oder als Topping fuer Suppen, 200g Beutel, (100g = 2,00)","100g = 2,00",Marktkauf Lohne,23
